danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode,track_name,album_name,artist
0.859,0.907,F,-7.547,major,0.0962,0.197,1.49e-5,0.293,0.963,132.878,0M6dPxqcQPxWVTFDGWstW0,184040,4,F major,"Solo Tu, Solo Yo",Lo Mejor De Lo Mejor,Menudo
0.612,0.906,C#,-4.829,major,0.032,5.58e-4,0,0.0641,0.776,119.01,78a5CHuPIXYlPYVQIjH9nc,191871,4,C# major,Wild Heart,Meet The Vamps,The Vamps
0.499,0.929,G,-3.876,major,0.11,0.00648,0,0.252,0.873,174.861,1r2a7tTkttQLW21ydU4ERp,146604,4,G major,Rockin' Robin,Memory Lane (The Best Of McFly) [Deluxe Edition],McFly
0.828,0.777,G,-3.356,major,0.0513,0.0901,0,0.0973,0.867,120.04,3AqhGYasXnen5PvLsHL1vc,216093,4,G major,"Girls Talk Boys (from the ""Ghostbusters"" Original Motion Picture Soundtrack)",Ghostbusters (Original Motion Picture Soundtrack),5 Seconds of Summer
0.539,0.634,A#,-8.752,major,0.0287,0.114,3.95e-5,0.201,0.349,135.75,0G2Rd4vct0AYN8EG6Ajm6u,242293,4,A# major,Weird,Middle Of Nowhere,Hanson
0.8,0.875,B,-4.952,minor,0.0338,0.0615,2.79e-6,0.13,0.882,100.033,1nRwyxNsqCLeA17qR8Nfxx,233533,4,B minor,Quit Playing Games (With My Heart),Backstreet Boys,Backstreet Boys
0.761,0.838,E,-3.073,minor,0.0502,0.4,0,0.176,0.71,93.974,3AEZUABDXNtecAOSC1qTfo,222560,4,E minor,Reggaetón Lento (Bailemos),Primera Cita,CNCO
0.493,0.956,C#,-4.221,minor,0.138,6.68e-4,0,0.416,0.47,160.006,1gugDOSMREb34Xo0c1PlxM,202496,4,C# minor,She Looks So Perfect,5 Seconds Of Summer,5 Seconds of Summer
0.686,0.763,C,-6.085,major,0.0325,0.0127,0,0.476,0.917,136.983,46Tcp6RuhTjK027uwE47XB,196369,4,C major,Rest Your Love,Wake Up (Deluxe),The Vamps
0.656,0.602,F,-6.236,major,0.0309,0.00562,0,0.0794,0.711,82.014,2TMBrwtLrxDmNkCkDqkWaj,191093,4,F major,Juliet,Anthem,Hanson
0.73,0.703,C,-5.672,minor,0.0369,0.109,0,0.0657,0.595,138.113,2K87XMYnUMqLcX3zvtAF4G,192120,4,C minor,Drag Me Down,Made In The A.M. (Deluxe Edition),One Direction
0.573,0.848,F#,-4.526,major,0.0311,5.7e-5,3.13e-5,0.145,0.55,117.169,6nRpOFGuJ0ok24wqkYWQrz,294120,4,F# major,Watch Over Me,The Walk,Hanson
0.656,0.76,F#,-5.147,minor,0.032,1.14e-4,2.3e-4,0.228,0.629,127.06,7CFAtVtqqsoLWMY42Lhczs,210200,4,F# minor,Fired Up,Anthem,Hanson
0.597,0.781,C#,-6.328,major,0.0313,0.00557,1.05e-6,0.082,0.274,93.969,0PxcoUrgHYxueN01gfbif5,193512,4,C# major,Wake Up,Wake Up (Deluxe),The Vamps
0.484,0.84,B,-7.374,minor,0.104,0.0256,0.0291,0.224,0.92,189.342,3jbjSN8y9VRgIVz0jGpF3A,164093,4,B minor,Chicle De Amor,15 Años De Historia,Menudo
0.432,0.868,F#,-2.01,minor,0.0882,0.00725,0,0.233,0.567,156.128,5wjmqUGN7vrAqFqDWrywlZ,176320,4,F# minor,Midnight Memories,Midnight Memories (Deluxe),One Direction
0.664,0.922,B,-4.322,major,0.0299,0.00603,7.86e-5,0.25,0.973,129.025,1pjck48goeorhgKgM7Qoot,226413,4,B major,Get The Girl Back,Anthem,Hanson
0.305,0.258,F,-11.329,major,0.0285,0.525,1.71e-5,0.162,0.175,142.664,5BUEw7HHOMjS7rnv5yUW8Q,268867,4,F major,Si Tu No Estas,15 Años De Historia,Menudo
0.536,0.768,A#,-5.948,minor,0.0347,0.00433,0,0.114,0.545,77.217,2Bs4jQEGMycglOfWPBqrVG,228133,4,A# minor,Steal My Girl,FOUR (Deluxe),One Direction
0.67,0.976,C#,-2.222,minor,0.0928,0.066,1.82e-6,0.297,0.9,147.994,2ObnCHpm1wV1pAl5niltVr,198053,4,C# minor,Pom Poms,Pom Poms,Jonas Brothers
0.687,0.918,G,-4.676,major,0.0392,0.00211,1.26e-5,0.344,0.747,110.06,73q3FpQVXWk5eSUnyo83E4,209400,4,G major,Tearin' up My Heart - Radio Edit,'N Sync UK Version,*NSYNC
0.757,0.641,E,-4.87,major,0.0532,0.038,3.77e-4,0.115,0.796,133.975,7jhTSo8iEMu1N6MIQK0ElA,216667,4,E major,I Was Born,Middle of Everywhere - The Greatest Hits,Hanson
0.403,0.883,E,-3.385,major,0.087,0.101,0,0.109,0.767,202.013,0GmkiJnO9y6FUxWpygHcsu,201720,4,E major,Amazing,24/seven,Big Time Rush
0.644,0.874,C,-4.666,minor,0.0801,0.0459,2.24e-6,0.0584,0.882,165.09,35zGjsxI020C2NPKp2fzS7,191040,4,C minor,It's Gonna Be Me,No Strings Attached,*NSYNC
0.598,0.282,B,-17.227,major,0.0256,0.282,0,0.105,0.305,134.706,1cy5US2dffz6QGBAIzOGkq,263933,4,B major,I'll Be Loving You (Forever),Hangin' Tough,New Kids On The Block
0.757,0.883,D,-6.133,major,0.0303,0.00773,1.45e-4,0.109,0.738,106.127,4HEtWYYzROeE4KmZJald5V,245e3,4,D major,I Wanna Be with You,Backstreet Boys,Backstreet Boys
0.699,0.403,B,-8.564,minor,0.0614,0.421,0,0.126,0.5,113.922,5efcmnfzIROJ5Aj7EGSDm8,292e3,4,B minor,Gone,Celebrity,*NSYNC
0.562,0.718,A,-6.551,major,0.0269,0.0433,0,0.174,0.51,86.964,6aw26tMh7aY9S7rqQDDaIQ,240733,4,A major,Thinking Of You (I Drive Myself Crazy) - Remix,'N Sync UK Version,*NSYNC
0.55,0.581,D,-6.253,major,0.0325,0.367,0,0.122,0.475,165.981,2Dp2LRrY71XIfLe3co2Qnh,283507,4,D major,This I Promise You,No Strings Attached,*NSYNC
0.561,0.495,D#,-7.953,minor,0.0253,0.47,0,0.108,0.42,157.916,6h4JFamZhYCPtR6WkrFdv4,274227,3,D# minor,If I Don't Have You,Backstreet's Back,Backstreet Boys
0.641,0.43,C#,-13.314,minor,0.0283,0.306,0,0.162,0.506,137.807,3UxhGH45xEy6J2JJwm3izJ,265040,4,C# minor,Didn't I (Blow Your Mind This Time),New Kids On The Block,New Kids On The Block
0.842,0.611,F,-8.166,minor,0.0471,0.0808,5.95e-4,0.165,0.517,102.018,024v6TtQuwzaudtdWFEOuM,183e3,4,F minor,Nobody but You,Backstreet Boys,Backstreet Boys
0.56,0.346,C,-9.403,minor,0.0287,0.642,0,0.408,0.195,130.972,1GBr3WGJzV6lGycAS8SBbv,243973,3,C minor,10.000 Promises,Backstreet's Back,Backstreet Boys
0.797,0.742,C#,-11.525,major,0.0522,0.0142,1.5e-4,0.131,0.97,117.932,6WpyPj5AUXMEdGQacspgg0,250827,4,C# major,Call It What You Want,Step By Step,New Kids On The Block
0.268,0.393,D#,-9.141,major,0.0346,0.852,0,0.292,0.376,91.504,6dHBZ2nTEX7uKsTl5kyAhh,177880,3,D# major,It’s So Hard To Say Goodbye To Yesterday,Twenty,Boyz II Men
0.765,0.753,C#,-12.001,major,0.0614,0.123,0.00383,0.0396,0.944,103.634,1YSKaDJIAgIVHTar7w1JBY,287533,4,C# major,Popsicle,New Kids On The Block,New Kids On The Block
0.8,0.898,D,-5.399,major,0.0947,0.0138,5.27e-5,0.254,0.7,113.997,2C8IlWocdkqSVSYPf7Fxbz,226853,4,D major,Motownphilly,Twenty,Boyz II Men
0.567,0.441,G,-8.987,major,0.035,0.482,0,0.142,0.143,75.03,1XL1tUzIm9MiWZzYwdhRBH,303373,4,G major,A Song For Mama,Evolution,Boyz II Men
0.442,0.855,A,-3.729,major,0.0321,0.0592,0,0.205,0.654,149.355,0bFNI1RFyoesVfrcozHnPH,252671,4,A major,Lola,Memory Lane (The Best Of McFly) [Deluxe Edition],McFly
